SKU,description,normalPrice,specialPrice
1133,"description for 1133",1133.09,1133.01
1134,"description for 1134",1134.09,1134.01
1135,"description for 1135",1135.09,1135.01
1136,"description for 1136",1136.09,1136.01
1137,"description for 1137",1137.09,1137.01
1138,"description for 1138",1138.09,1138.01
1139,"description for 1139",1139.09,1139.01
1140,"description for 1140",1140.09,1140.01
1141,"description for 1141",1141.09,1141.01
1142,"description for 1142",1142.09,1142.01
1143,"description for 1143",1143.09,1143.01
1144,"description for 1144",1144.09,1144.01
1145,"description for 1145",1145.09,1145.01
1146,"description for 1146",1146.09,1146.01
1147,"description for 1147",1147.09,1147.01
1148,"description for 1148",1148.09,1148.01
1149,"description for 1149",1149.09,1149.01
1150,"description for 1150",1150.09,1150.01
1151,"description for 1151",1151.09,1151.01
1152,"description for 1152",1152.09,1152.01
1153,"description for 1153",1153.09,1153.01
1154,"description for 1154",1154.09,1154.01
1155,"description for 1155",1155.09,1155.01
1156,"description for 1156",1156.09,1156.01
1157,"description for 1157",1157.09,1157.01
1158,"description for 1158",1158.09,1158.01
1159,"description for 1159",1159.09,1159.01
1160,"description for 1160",1160.09,1160.01
1161,"description for 1161",1161.09,1161.01
1162,"description for 1162",1162.09,1162.01
1163,"description for 1163",1163.09,1163.01
1164,"description for 1164",1164.09,1164.01
1165,"description for 1165",1165.09,1165.01
1166,"description for 1166",1166.09,1166.01
1167,"description for 1167",1167.09,1167.01
1168,"description for 1168",1168.09,1168.01
1169,"description for 1169",1169.09,1169.01
1170,"description for 1170",1170.09,1170.01
1171,"description for 1171",1171.09,1171.01
1172,"description for 1172",1172.09,1172.01
1173,"description for 1173",1173.09,1173.01
1174,"description for 1174",1174.09,1174.01
1175,"description for 1175",1175.09,1175.01
1176,"description for 1176",1176.09,1176.01
1177,"description for 1177",1177.09,1177.01
1178,"description for 1178",1178.09,1178.01
1179,"description for 1179",1179.09,1179.01
1180,"description for 1180",1180.09,1180.01
1181,"description for 1181",1181.09,1181.01
1182,"description for 1182",1182.09,1182.01
1183,"description for 1183",1183.09,1183.01
1184,"description for 1184",1184.09,1184.01
1185,"description for 1185",1185.09,1185.01
1186,"description for 1186",1186.09,1186.01
1187,"description for 1187",1187.09,1187.01
1188,"description for 1188",1188.09,1188.01
1189,"description for 1189",1189.09,1189.01
1190,"description for 1190",1190.09,1190.01
1191,"description for 1191",1191.09,1191.01
1192,"description for 1192",1192.09,1192.01
1193,"description for 1193",1193.09,1193.01
1194,"description for 1194",1194.09,1194.01
1195,"description for 1195",1195.09,1195.01
1196,"description for 1196",1196.09,1196.01
1197,"description for 1197",1197.09,1197.01
1198,"description for 1198",1198.09,1198.01
1199,"description for 1199",1199.09,1199.01
1200,"description for 1200",1200.09,1200.01
1201,"description for 1201",1201.09,1201.01
1202,"description for 1202",1202.09,1202.01
1203,"description for 1203",1203.09,1203.01
1204,"description for 1204",1204.09,1204.01
1205,"description for 1205",1205.09,1205.01
1206,"description for 1206",1206.09,1206.01
1207,"description for 1207",1207.09,1207.01
1208,"description for 1208",1208.09,1208.01
1209,"description for 1209",1209.09,1209.01
1210,"description for 1210",1210.09,1210.01
1211,"description for 1211",1211.09,1211.01
1212,"description for 1212",1212.09,1212.01
1213,"description for 1213",1213.09,1213.01
1214,"description for 1214",1214.09,1214.01
1215,"description for 1215",1215.09,1215.01
1216,"description for 1216",1216.09,1216.01
1217,"description for 1217",1217.09,1217.01
1218,"description for 1218",1218.09,1218.01
1219,"description for 1219",1219.09,1219.01
1220,"description for 1220",1220.09,1220.01
1221,"description for 1221",1221.09,1221.01
1222,"description for 1222",1222.09,1222.01
1223,"description for 1223",1223.09,1223.01
1224,"description for 1224",1224.09,1224.01
1225,"description for 1225",1225.09,1225.01
1226,"description for 1226",1226.09,1226.01
1227,"description for 1227",1227.09,1227.01
1228,"description for 1228",1228.09,1228.01
1229,"description for 1229",1229.09,1229.01
1230,"description for 1230",1230.09,1230.01
1231,"description for 1231",1231.09,1231.01
1232,"description for 1232",1232.09,1232.01
1233,"description for 1233",1233.09,1233.01
1234,"description for 1234",1234.09,1234.01
1235,"description for 1235",1235.09,1235.01
1236,"description for 1236",1236.09,1236.01
1237,"description for 1237",1237.09,1237.01
1238,"description for 1238",1238.09,1238.01
1239,"description for 1239",1239.09,1239.01
1240,"description for 1240",1240.09,1240.01
1241,"description for 1241",1241.09,1241.01
1242,"description for 1242",1242.09,1242.01
1243,"description for 1243",1243.09,1243.01
1244,"description for 1244",1244.09,1244.01
1245,"description for 1245",1245.09,1245.01
1246,"description for 1246",1246.09,1246.01
1247,"description for 1247",1247.09,1247.01
1248,"description for 1248",1248.09,1248.01
1249,"description for 1249",1249.09,1249.01
1250,"description for 1250",1250.09,1250.01
1251,"description for 1251",1251.09,1251.01
1252,"description for 1252",1252.09,1252.01
1253,"description for 1253",1253.09,1253.01
1254,"description for 1254",1254.09,1254.01
1255,"description for 1255",1255.09,1255.01
1256,"description for 1256",1256.09,1256.01
1257,"description for 1257",1257.09,1257.01
1258,"description for 1258",1258.09,1258.01
1259,"description for 1259",1259.09,1259.01
1260,"description for 1260",1260.09,1260.01
1261,"description for 1261",1261.09,1261.01
1262,"description for 1262",1262.09,1262.01
1263,"description for 1263",1263.09,1263.01
1264,"description for 1264",1264.09,1264.01
1265,"description for 1265",1265.09,1265.01
1266,"description for 1266",1266.09,1266.01
1267,"description for 1267",1267.09,1267.01
1268,"description for 1268",1268.09,1268.01
1269,"description for 1269",1269.09,1269.01
1270,"description for 1270",1270.09,1270.01
1271,"description for 1271",1271.09,1271.01
1272,"description for 1272",1272.09,1272.01
1273,"description for 1273",1273.09,1273.01
1274,"description for 1274",1274.09,1274.01
1275,"description for 1275",1275.09,1275.01
1276,"description for 1276",1276.09,1276.01
1277,"description for 1277",1277.09,1277.01
1278,"description for 1278",1278.09,1278.01
1279,"description for 1279",1279.09,1279.01
1280,"description for 1280",1280.09,1280.01
1281,"description for 1281",1281.09,1281.01
1282,"description for 1282",1282.09,1282.01
1283,"description for 1283",1283.09,1283.01
1284,"description for 1284",1284.09,1284.01
1285,"description for 1285",1285.09,1285.01
1286,"description for 1286",1286.09,1286.01
1287,"description for 1287",1287.09,1287.01
1288,"description for 1288",1288.09,1288.01
1289,"description for 1289",1289.09,1289.01
1290,"description for 1290",1290.09,1290.01
1291,"description for 1291",1291.09,1291.01
1292,"description for 1292",1292.09,1292.01
1293,"description for 1293",1293.09,1293.01
1294,"description for 1294",1294.09,1294.01
1295,"description for 1295",1295.09,1295.01
1296,"description for 1296",1296.09,1296.01
1297,"description for 1297",1297.09,1297.01
1298,"description for 1298",1298.09,1298.01
1299,"description for 1299",1299.09,1299.01
1300,"description for 1300",1300.09,1300.01
1301,"description for 1301",1301.09,1301.01
1302,"description for 1302",1302.09,1302.01
1303,"description for 1303",1303.09,1303.01
1304,"description for 1304",1304.09,1304.01
1305,"description for 1305",1305.09,1305.01
1306,"description for 1306",1306.09,1306.01
1307,"description for 1307",1307.09,1307.01
1308,"description for 1308",1308.09,1308.01
1309,"description for 1309",1309.09,1309.01
1310,"description for 1310",1310.09,1310.01
1311,"description for 1311",1311.09,1311.01
1312,"description for 1312",1312.09,1312.01
1313,"description for 1313",1313.09,1313.01
1314,"description for 1314",1314.09,1314.01
1315,"description for 1315",1315.09,1315.01
1316,"description for 1316",1316.09,1316.01
1317,"description for 1317",1317.09,1317.01
1318,"description for 1318",1318.09,1318.01
1319,"description for 1319",1319.09,1319.01
1320,"description for 1320",1320.09,1320.01
1321,"description for 1321",1321.09,1321.01
1322,"description for 1322",1322.09,1322.01
1323,"description for 1323",1323.09,1323.01
1324,"description for 1324",1324.09,1324.01
1325,"description for 1325",1325.09,1325.01
1326,"description for 1326",1326.09,1326.01
1327,"description for 1327",1327.09,1327.01
1328,"description for 1328",1328.09,1328.01
1329,"description for 1329",1329.09,1329.01
1330,"description for 1330",1330.09,1330.01
1331,"description for 1331",1331.09,1331.01
1332,"description for 1332",1332.09,1332.01
1333,"description for 1333",1333.09,1333.01
1334,"description for 1334",1334.09,1334.01
1335,"description for 1335",1335.09,1335.01
1336,"description for 1336",1336.09,1336.01
1337,"description for 1337",1337.09,1337.01
1338,"description for 1338",1338.09,1338.01
1339,"description for 1339",1339.09,1339.01
1340,"description for 1340",1340.09,1340.01
1341,"description for 1341",1341.09,1341.01
1342,"description for 1342",1342.09,1342.01
1343,"description for 1343",1343.09,1343.01
1344,"description for 1344",1344.09,1344.01
1345,"description for 1345",1345.09,1345.01
1346,"description for 1346",1346.09,1346.01
1347,"description for 1347",1347.09,1347.01
1348,"description for 1348",1348.09,1348.01
1349,"description for 1349",1349.09,1349.01
1350,"description for 1350",1350.09,1350.01
1351,"description for 1351",1351.09,1351.01
1352,"description for 1352",1352.09,1352.01
1353,"description for 1353",1353.09,1353.01
1354,"description for 1354",1354.09,1354.01
1355,"description for 1355",1355.09,1355.01
1356,"description for 1356",1356.09,1356.01
1357,"description for 1357",1357.09,1357.01
1358,"description for 1358",1358.09,1358.01
1359,"description for 1359",1359.09,1359.01
1360,"description for 1360",1360.09,1360.01
1361,"description for 1361",1361.09,1361.01
1362,"description for 1362",1362.09,1362.01
1363,"description for 1363",1363.09,1363.01
1364,"description for 1364",1364.09,1364.01
1365,"description for 1365",1365.09,1365.01
1366,"description for 1366",1366.09,1366.01
1367,"description for 1367",1367.09,1367.01
1368,"description for 1368",1368.09,1368.01
1369,"description for 1369",1369.09,1369.01
1370,"description for 1370",1370.09,1370.01
1371,"description for 1371",1371.09,1371.01
1372,"description for 1372",1372.09,1372.01
1373,"description for 1373",1373.09,1373.01
1374,"description for 1374",1374.09,1374.01
1375,"description for 1375",1375.09,1375.01
1376,"description for 1376",1376.09,1376.01
1377,"description for 1377",1377.09,1377.01
1378,"description for 1378",1378.09,1378.01
1379,"description for 1379",1379.09,1379.01
1380,"description for 1380",1380.09,1380.01
1381,"description for 1381",1381.09,1381.01
1382,"description for 1382",1382.09,1382.01
1383,"description for 1383",1383.09,1383.01
1384,"description for 1384",1384.09,1384.01
1385,"description for 1385",1385.09,1385.01
1386,"description for 1386",1386.09,1386.01
1387,"description for 1387",1387.09,1387.01
1388,"description for 1388",1388.09,1388.01
1389,"description for 1389",1389.09,1389.01
1390,"description for 1390",1390.09,1390.01
1391,"description for 1391",1391.09,1391.01
1392,"description for 1392",1392.09,1392.01
1393,"description for 1393",1393.09,1393.01
1394,"description for 1394",1394.09,1394.01
1395,"description for 1395",1395.09,1395.01
1396,"description for 1396",1396.09,1396.01
1397,"description for 1397",1397.09,1397.01
1398,"description for 1398",1398.09,1398.01
1399,"description for 1399",1399.09,1399.01
1400,"description for 1400",1400.09,1400.01
1401,"description for 1401",1401.09,1401.01
1402,"description for 1402",1402.09,1402.01
1403,"description for 1403",1403.09,1403.01
1404,"description for 1404",1404.09,1404.01
1405,"description for 1405",1405.09,1405.01
1406,"description for 1406",1406.09,1406.01
1407,"description for 1407",1407.09,1407.01
1408,"description for 1408",1408.09,1408.01
1409,"description for 1409",1409.09,1409.01
1410,"description for 1410",1410.09,1410.01
1411,"description for 1411",1411.09,1411.01
1412,"description for 1412",1412.09,1412.01
1413,"description for 1413",1413.09,1413.01
1414,"description for 1414",1414.09,1414.01
1415,"description for 1415",1415.09,1415.01
1416,"description for 1416",1416.09,1416.01
1417,"description for 1417",1417.09,1417.01
1418,"description for 1418",1418.09,1418.01
1419,"description for 1419",1419.09,1419.01
1420,"description for 1420",1420.09,1420.01
1421,"description for 1421",1421.09,1421.01
1422,"description for 1422",1422.09,1422.01
1423,"description for 1423",1423.09,1423.01
1424,"description for 1424",1424.09,1424.01
1425,"description for 1425",1425.09,1425.01
1426,"description for 1426",1426.09,1426.01
1427,"description for 1427",1427.09,1427.01
1428,"description for 1428",1428.09,1428.01
1429,"description for 1429",1429.09,1429.01
1430,"description for 1430",1430.09,1430.01
1431,"description for 1431",1431.09,1431.01
1432,"description for 1432",1432.09,1432.01
1433,"description for 1433",1433.09,1433.01
1434,"description for 1434",1434.09,1434.01
1435,"description for 1435",1435.09,1435.01
1436,"description for 1436",1436.09,1436.01
1437,"description for 1437",1437.09,1437.01
1438,"description for 1438",1438.09,1438.01
1439,"description for 1439",1439.09,1439.01
1440,"description for 1440",1440.09,1440.01
1441,"description for 1441",1441.09,1441.01
1442,"description for 1442",1442.09,1442.01
1443,"description for 1443",1443.09,1443.01
1444,"description for 1444",1444.09,1444.01
1445,"description for 1445",1445.09,1445.01
1446,"description for 1446",1446.09,1446.01
1447,"description for 1447",1447.09,1447.01
1448,"description for 1448",1448.09,1448.01
1449,"description for 1449",1449.09,1449.01
1450,"description for 1450",1450.09,1450.01
1451,"description for 1451",1451.09,1451.01
1452,"description for 1452",1452.09,1452.01
1453,"description for 1453",1453.09,1453.01
1454,"description for 1454",1454.09,1454.01
1455,"description for 1455",1455.09,1455.01
1456,"description for 1456",1456.09,1456.01
1457,"description for 1457",1457.09,1457.01
1458,"description for 1458",1458.09,1458.01
1459,"description for 1459",1459.09,1459.01
1460,"description for 1460",1460.09,1460.01
1461,"description for 1461",1461.09,1461.01
1462,"description for 1462",1462.09,1462.01
1463,"description for 1463",1463.09,1463.01
1464,"description for 1464",1464.09,1464.01
1465,"description for 1465",1465.09,1465.01
1466,"description for 1466",1466.09,1466.01
1467,"description for 1467",1467.09,1467.01
1468,"description for 1468",1468.09,1468.01
1469,"description for 1469",1469.09,1469.01
1470,"description for 1470",1470.09,1470.01
1471,"description for 1471",1471.09,1471.01
1472,"description for 1472",1472.09,1472.01
1473,"description for 1473",1473.09,1473.01
1474,"description for 1474",1474.09,1474.01
1475,"description for 1475",1475.09,1475.01
1476,"description for 1476",1476.09,1476.01
1477,"description for 1477",1477.09,1477.01
1478,"description for 1478",1478.09,1478.01
1479,"description for 1479",1479.09,1479.01
1480,"description for 1480",1480.09,1480.01
1481,"description for 1481",1481.09,1481.01
1482,"description for 1482",1482.09,1482.01
1483,"description for 1483",1483.09,1483.01
1484,"description for 1484",1484.09,1484.01
1485,"description for 1485",1485.09,1485.01
1486,"description for 1486",1486.09,1486.01
1487,"description for 1487",1487.09,1487.01
1488,"description for 1488",1488.09,1488.01
1489,"description for 1489",1489.09,1489.01
1490,"description for 1490",1490.09,1490.01
1491,"description for 1491",1491.09,1491.01
1492,"description for 1492",1492.09,1492.01
1493,"description for 1493",1493.09,1493.01
1494,"description for 1494",1494.09,1494.01
1495,"description for 1495",1495.09,1495.01
1496,"description for 1496",1496.09,1496.01
1497,"description for 1497",1497.09,1497.01
1498,"description for 1498",1498.09,1498.01
1499,"description for 1499",1499.09,1499.01
1500,"description for 1500",1500.09,1500.01
1501,"description for 1501",1501.09,1501.01
1502,"description for 1502",1502.09,1502.01
1503,"description for 1503",1503.09,1503.01
1504,"description for 1504",1504.09,1504.01
1505,"description for 1505",1505.09,1505.01
1506,"description for 1506",1506.09,1506.01
1507,"description for 1507",1507.09,1507.01
1508,"description for 1508",1508.09,1508.01
1509,"description for 1509",1509.09,1509.01
1510,"description for 1510",1510.09,1510.01
1511,"description for 1511",1511.09,1511.01
1512,"description for 1512",1512.09,1512.01
1513,"description for 1513",1513.09,1513.01
1514,"description for 1514",1514.09,1514.01
1515,"description for 1515",1515.09,1515.01
1516,"description for 1516",1516.09,1516.01
1517,"description for 1517",1517.09,1517.01
1518,"description for 1518",1518.09,1518.01
1519,"description for 1519",1519.09,1519.01
1520,"description for 1520",1520.09,1520.01
1521,"description for 1521",1521.09,1521.01
1522,"description for 1522",1522.09,1522.01
1523,"description for 1523",1523.09,1523.01
1524,"description for 1524",1524.09,1524.01
1525,"description for 1525",1525.09,1525.01
1526,"description for 1526",1526.09,1526.01
1527,"description for 1527",1527.09,1527.01
1528,"description for 1528",1528.09,1528.01
1529,"description for 1529",1529.09,1529.01
1530,"description for 1530",1530.09,1530.01
1531,"description for 1531",1531.09,1531.01
1532,"description for 1532",1532.09,1532.01
1533,"description for 1533",1533.09,1533.01
1534,"description for 1534",1534.09,1534.01
1535,"description for 1535",1535.09,1535.01
1536,"description for 1536",1536.09,1536.01
1537,"description for 1537",1537.09,1537.01
1538,"description for 1538",1538.09,1538.01
1539,"description for 1539",1539.09,1539.01
1540,"description for 1540",1540.09,1540.01
1541,"description for 1541",1541.09,1541.01
1542,"description for 1542",1542.09,1542.01
1543,"description for 1543",1543.09,1543.01
1544,"description for 1544",1544.09,1544.01
1545,"description for 1545",1545.09,1545.01
1546,"description for 1546",1546.09,1546.01
1547,"description for 1547",1547.09,1547.01
1548,"description for 1548",1548.09,1548.01
1549,"description for 1549",1549.09,1549.01
1550,"description for 1550",1550.09,1550.01
1551,"description for 1551",1551.09,1551.01
1552,"description for 1552",1552.09,1552.01
1553,"description for 1553",1553.09,1553.01
1554,"description for 1554",1554.09,1554.01
1555,"description for 1555",1555.09,1555.01
1556,"description for 1556",1556.09,1556.01
1557,"description for 1557",1557.09,1557.01
1558,"description for 1558",1558.09,1558.01
1559,"description for 1559",1559.09,1559.01
1560,"description for 1560",1560.09,1560.01
1561,"description for 1561",1561.09,1561.01
1562,"description for 1562",1562.09,1562.01
1563,"description for 1563",1563.09,1563.01
1564,"description for 1564",1564.09,1564.01
1565,"description for 1565",1565.09,1565.01
1566,"description for 1566",1566.09,1566.01
1567,"description for 1567",1567.09,1567.01
1568,"description for 1568",1568.09,1568.01
1569,"description for 1569",1569.09,1569.01
1570,"description for 1570",1570.09,1570.01
1571,"description for 1571",1571.09,1571.01
1572,"description for 1572",1572.09,1572.01
1573,"description for 1573",1573.09,1573.01
1574,"description for 1574",1574.09,1574.01
1575,"description for 1575",1575.09,1575.01
1576,"description for 1576",1576.09,1576.01
1577,"description for 1577",1577.09,1577.01
1578,"description for 1578",1578.09,1578.01
1579,"description for 1579",1579.09,1579.01
1580,"description for 1580",1580.09,1580.01
1581,"description for 1581",1581.09,1581.01
1582,"description for 1582",1582.09,1582.01
1583,"description for 1583",1583.09,1583.01
1584,"description for 1584",1584.09,1584.01
1585,"description for 1585",1585.09,1585.01
1586,"description for 1586",1586.09,1586.01
1587,"description for 1587",1587.09,1587.01
1588,"description for 1588",1588.09,1588.01
1589,"description for 1589",1589.09,1589.01
1590,"description for 1590",1590.09,1590.01
1591,"description for 1591",1591.09,1591.01
1592,"description for 1592",1592.09,1592.01
1593,"description for 1593",1593.09,1593.01
1594,"description for 1594",1594.09,1594.01
1595,"description for 1595",1595.09,1595.01
1596,"description for 1596",1596.09,1596.01
1597,"description for 1597",1597.09,1597.01
1598,"description for 1598",1598.09,1598.01
1599,"description for 1599",1599.09,1599.01
1600,"description for 1600",1600.09,1600.01
1601,"description for 1601",1601.09,1601.01
1602,"description for 1602",1602.09,1602.01
1603,"description for 1603",1603.09,1603.01
1604,"description for 1604",1604.09,1604.01
1605,"description for 1605",1605.09,1605.01
1606,"description for 1606",1606.09,1606.01
1607,"description for 1607",1607.09,1607.01
1608,"description for 1608",1608.09,1608.01
1609,"description for 1609",1609.09,1609.01
1610,"description for 1610",1610.09,1610.01
1611,"description for 1611",1611.09,1611.01
1612,"description for 1612",1612.09,1612.01
1613,"description for 1613",1613.09,1613.01
1614,"description for 1614",1614.09,1614.01
1615,"description for 1615",1615.09,1615.01
1616,"description for 1616",1616.09,1616.01
1617,"description for 1617",1617.09,1617.01
1618,"description for 1618",1618.09,1618.01
1619,"description for 1619",1619.09,1619.01
1620,"description for 1620",1620.09,1620.01
1621,"description for 1621",1621.09,1621.01
1622,"description for 1622",1622.09,1622.01
1623,"description for 1623",1623.09,1623.01
1624,"description for 1624",1624.09,1624.01
1625,"description for 1625",1625.09,1625.01
1626,"description for 1626",1626.09,1626.01
1627,"description for 1627",1627.09,1627.01
1628,"description for 1628",1628.09,1628.01
1629,"description for 1629",1629.09,1629.01
1630,"description for 1630",1630.09,1630.01
1631,"description for 1631",1631.09,1631.01
1632,"description for 1632",1632.09,1632.01
1633,"description for 1633",1633.09,1633.01
1634,"description for 1634",1634.09,1634.01
1635,"description for 1635",1635.09,1635.01
1636,"description for 1636",1636.09,1636.01
1637,"description for 1637",1637.09,1637.01
1638,"description for 1638",1638.09,1638.01
1639,"description for 1639",1639.09,1639.01
1640,"description for 1640",1640.09,1640.01
1641,"description for 1641",1641.09,1641.01
1642,"description for 1642",1642.09,1642.01
1643,"description for 1643",1643.09,1643.01
1644,"description for 1644",1644.09,1644.01
1645,"description for 1645",1645.09,1645.01
1646,"description for 1646",1646.09,1646.01
1647,"description for 1647",1647.09,1647.01
1648,"description for 1648",1648.09,1648.01
1649,"description for 1649",1649.09,1649.01
1650,"description for 1650",1650.09,1650.01
1651,"description for 1651",1651.09,1651.01
1652,"description for 1652",1652.09,1652.01
1653,"description for 1653",1653.09,1653.01
1654,"description for 1654",1654.09,1654.01
1655,"description for 1655",1655.09,1655.01
1656,"description for 1656",1656.09,1656.01
1657,"description for 1657",1657.09,1657.01
1658,"description for 1658",1658.09,1658.01
1659,"description for 1659",1659.09,1659.01
1660,"description for 1660",1660.09,1660.01
1661,"description for 1661",1661.09,1661.01
1662,"description for 1662",1662.09,1662.01
1663,"description for 1663",1663.09,1663.01
1664,"description for 1664",1664.09,1664.01
1665,"description for 1665",1665.09,1665.01
1666,"description for 1666",1666.09,1666.01
1667,"description for 1667",1667.09,1667.01
1668,"description for 1668",1668.09,1668.01
1669,"description for 1669",1669.09,1669.01
1670,"description for 1670",1670.09,1670.01
1671,"description for 1671",1671.09,1671.01
1672,"description for 1672",1672.09,1672.01
1673,"description for 1673",1673.09,1673.01
1674,"description for 1674",1674.09,1674.01
1675,"description for 1675",1675.09,1675.01
1676,"description for 1676",1676.09,1676.01
1677,"description for 1677",1677.09,1677.01
1678,"description for 1678",1678.09,1678.01
1679,"description for 1679",1679.09,1679.01
1680,"description for 1680",1680.09,1680.01
1681,"description for 1681",1681.09,1681.01
1682,"description for 1682",1682.09,1682.01
1683,"description for 1683",1683.09,1683.01
1684,"description for 1684",1684.09,1684.01
1685,"description for 1685",1685.09,1685.01
1686,"description for 1686",1686.09,1686.01
1687,"description for 1687",1687.09,1687.01
1688,"description for 1688",1688.09,1688.01
1689,"description for 1689",1689.09,1689.01
1690,"description for 1690",1690.09,1690.01
1691,"description for 1691",1691.09,1691.01
1692,"description for 1692",1692.09,1692.01
1693,"description for 1693",1693.09,1693.01
1694,"description for 1694",1694.09,1694.01
1695,"description for 1695",1695.09,1695.01
1696,"description for 1696",1696.09,1696.01
1697,"description for 1697",1697.09,1697.01
